title,oecdId,documentFunction
MATERIALS GENOME INITIATIVE,25093.0,body or organization
AI FOR INDUSTRY,24368.0,strategy
AI SINGAPORE,24366.0,strategy
WELSH LANGUAGE TECHNOLOGY ACTION PLAN,26880.0,strategy
​ARTIFICIAL INTELLIGENCE INNOVATION ACTION PLAN FOR INSTITUTIONS OF HIGHER EDUCATION,26851.0,strategy
KNOWLEDGE CENTRE FOR DATA AND SOCIETY,26900.0,body or organization
ARTIFICIAL INTELLIGENCE AND TECHNOLOGY OFFICE,24945.0,body or organization
CENTRE OF EXCELLENCE FOR INTERNET OF THINGS (IOT) & AI,26855.0,body or organization
ARTIFICIAL INTELLIGENCE ADVISORY COUNCIL,24271.0,body or organization
DIGITAL LUXEMBOURG,1337.0,strategy
LAW ON ROAD TRAFFIC SAFETY (SELF-DRIVING CARS),26807.0,regulation
DOD ARTIFICIAL INTELLIGENCE STRATEGY,24939.0,strategy
EUROPEAN NETWORK FOR AI EXCELLENCE CENTRES,24807.0,body or organization
INNOVATION STRATEGY OF THE CZECH REPUBLIC,24005.0,strategy
DIGITAL HUB INITIATIVE,24128.0,body or organization
ARTIFICIAL INTELLIGENCE TASK FORCE FOR INDIA'S ECONOMIC TRANSFORMATION,24667.0,body or organization
32ND AMENDMENT TO THE AUSTRIAN MOTOR VEHICLES ACT,26814.0,regulation
RESOLUTION ON AUTOMATED DECISION-MAKING PROCESSES,26886.0,pre-regulation
AI ETHICS AND GOVERNANCE BODY OF KNOWLEDGE,27002.0,principles
SAUDI ARABIA'S NATIONAL DATA AND AI STRATEGY,26934.0,strategy
NATIONAL REGULATION ON AUTOMATED DECISION-MAKING,26806.0,regulation
JOINT ARTIFICIAL INTELLIGENCE CENTER,24943.0,body or organization
NATIONAL ARTIFICIAL INTELLIGENCE RESOURCE PORTAL,26940.0,body or organization
ETHICAL FRAMEWORK FOR ARTIFICIAL INTELLIGENCE IN COLOMBIA,26737.0,principles
LUXEMBOURG FUTURE FUND,15861.0,body or organization
NATIONAL STRATEGY ON ARTIFICIAL INTELLIGENCE,24951.0,strategy
FUNDING INITIATIVE INTERNATIONAL FUTURE LABS FOR ARTIFICIAL INTELLIGENCE,24108.0,body or organization
AI SWEDEN,24195.0,strategy
INTERNATIONAL COUNCIL OF ARTIFICIAL INTELLIGENCE,26993.0,body or organization
C4IR NETWORK,26448.0,body or organization
SINGAPORE'S NATIONAL AI STRATEGY,26499.0,strategy
AI BAROMETER,26708.0,diagnosis
CONDUCTING AN EXPERIMENT IN THE TEST USE OF HIGHLY AUTOMATED VEHICLES ON PUBLIC ROADS (REGULATION NO. 1415),26869.0,regulation
ARAB ARTIFICIAL INTELLIGENCE (AI) WORKING GROUP,26473.0,body or organization
GOVERNMENT ASSIGNMENT ON SMEs AND DATA AS STRATEGIC RESOURCE,26681.0,strategy
AI BUSINESS PROGRAM,24444.0,strategy
LATVIA'S NATIONAL AI STRATEGY,26933.0,strategy
AI STRATEGY,25312.0,strategy
AI GRAND CHALLENGES,24569.0,diagnosis
DATA ETHICS AND AI GUIDANCE LANDSCAPE,26960.0,principles
PLAN TO RESPOND TO THE FOURTH INDUSTRIAL REVOLUTION FOR INNOVATIVE GROWTH,16841.0,strategy
BRAZILIAN STRATEGY FOR DIGITAL TRANSFORMATION,24273.0,strategy
NATIONAL OPEN DATA PORTAL,26484.0,body or organization
AUS4INNOVATION (VIETNAM AND AUSTRALIA),26843.0,body or organization
CENTRE FOR DATA ETHICS AND INNOVATION,24196.0,body or organization
AI UTILISATION GUIDELINES,24346.0,principles
MELUXINA SUPERCOMPUTER,26928.0,body or organization
COORDINATED PLAN ON ARTIFICIAL INTELLIGENCE,23955.0,strategy
RESOLUTION ON AUTONOMOUS DRIVING IN EUROPEAN TRANSPORT,27007.0,pre-regulation
NATIONAL CENTRE FOR COMPUTING EDUCATION,26425.0,body or organization
AI FORUM,15691.0,strategy
NATIONAL ENGINEERING LABORATORY FOR DEEP LEARNING,16868.0,body or organization
AUTOMATED DRIVING REGULATION,26815.0,regulation
TOWARDS TRUSTWORTHY AI: MALTAS ETHICAL AI FRAMEWORK 2019,24993.0,strategy
ALGORITHM CHARTER FOR AOTEAROA NEW ZEALAND,25730.0,principles
AI START-UP HUB,26724.0,body or organization
CIVIL LIABILITY REGIME FOR ARTIFICIAL INTELLIGENCE,27005.0,diagnosis
UAE NATIONAL PROGRAMME FOR ARTIFICIAL INTELLIGENCE,26877.0,strategy
DECLARATION ON COOPERATION IN ARTIFICIAL INTELLIGENCE RESEARCH AND DEVELOPMENT (UK - US),26718.0,strategy
THE NEXT GENERATION FOR ARTIFICIAL INTELLIGENCE PLAN,24274.0,strategy
A GUIDE TO USING AI IN THE PUBLIC SECTOR,24815.0,strategy
AI CERTIFICATION PROGRAMME,25481.0,strategy
MEDICAL RESEARCH FUTURE FUND,26398.0,body or organization
DIGITAL INNOVATION HUBS,26441.0,body or organization
SPANISH NATIONAL AI STRATEGY,27013.0,strategy
ESTONIA'S NATIONAL ARTIFICIAL INTELLIGENCE STRATEGY,24257.0,strategy
DIGITAL AGENDA FOR NORWAY,24811.0,strategy
PROTECTING THE UNITED STATES ADVANTAGE IN ARTIFICIAL INTELLIGENCE AND RELATED CRITICAL TECHNOLOGIES,24278.0,strategy
DIGITAL CZECH REPUBLIC,24363.0,strategy
INTERNATIONAL RESEARCH CENTRE UNDER THE AUSPICES OF UNESCO,26460.0,body or organization
AUTOMATED AND ELECTRIC VEHICLES BILL,26820.0,regulation
DIGITAL ROADMAP AUSTRIA,14339.0,strategy
THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,26955.0,diagnosis
AI4EU CONSORTIUM,26417.0,body or organization
DECLARATION OF COOPERATION ON AI,24192.0,strategy
NATIONAL ETHICAL GUIDELINES FOR BIOMEDICAL AND HEALTH RESEARCH INVOLVING HUMAN PARTICIPANTS,24955.0,principles
